DATE,WHITEFLUX
54751.11469586062,30819.826000000015
54751.116804980935,30766.33023851807
54751.11891410125,30751.556424880684
54751.12102322157,30749.078411192986
54751.12313234188,30735.472031350786
54751.12524146219,30705.36471893669
54751.12735058251,30673.45570414926
54751.129459702825,30662.058556769396
54751.13156882314,30682.81177444076
54751.13367794346,30726.006400185735
54751.13578706377,30766.044427886194
54751.13789618409,30779.528461904105
54751.140005304405,30762.48042995549
54751.14211442472,30733.670297764285
54751.14422354503,30721.96752279635
54751.14633266535,30747.701119695703
54751.14844178566,30810.99592643579
54751.15055090598,30892.582773112485
54751.152660026295,30963.13413661139
54751.15476914661,30994.637789547363
54751.15687826693,30971.285523900537
54751.15898738724,30899.489245291672
54751.16109650756,30812.15864578586
54751.16320562787,30757.956591644623
54751.165314748185,30773.076488995448
54751.1674238685,30850.996850787946
54751.16953298882,30937.5166988045
54751.17164210913,30965.531314663607
54751.17375122945,30909.779523612873
54751.175860349766,30815.87366601003
54751.17796947008,30770.75449299416
54751.1800785904,30830.580118670852
54751.18218771071,30965.57066016061
54751.18429683102,31074.86279034358
54751.18640595134,31066.06239742523
54751.188515071655,30933.718685133626
54751.19062419197,30766.639143753106
54751.19273331229,30675.02282920174
54751.194842432604,30700.96301003301
54751.19695155292,30791.397016216826
54751.199060673236,30854.543515862828
54751.201169793545,30843.56778310079
54751.20327891386,30788.72511296919
54751.20538803418,30752.72506769895
54751.20749715449,30760.06224855378
54751.20960627481,30774.098683214175
54751.211715395126,30743.750269302778
54751.21382451544,30668.373636642078
54751.21593363576,30609.87980167932
54751.218042756074,30635.357033155266
54751.22015187638,30746.23389507091
54751.2222609967,30866.723258116905
54751.224370117015,30907.113883130594
54751.22647923733,30843.395577481613
54751.22858835765,30737.712620661445
54751.230697477964,30680.79810267619
54751.23280659828,30711.366764403396
54751.234915718596,30786.667663414166
54751.23702483891,30827.103021120678
54751.23913395922,30788.865898094344
54751.24124307954,30698.046963156336
54751.243352199854,30621.969389864837
54751.24546132017,30611.948175171783
54751.247570440486,30669.942502114507
54751.2496795608,30759.46142729917
54751.25178868112,30838.22742236636
54751.253897801435,30879.43578952915
54751.25600692175,30872.444704646183
54751.25811604206,30818.487827761943
54751.260225162376,30734.47206196717
54751.26233428269,30656.607026192087
54751.26444340301,30626.76700078227
54751.266552523324,30662.6516303808
54751.26866164364,30737.45367086449
54751.27077076396,30794.075221670264
54751.27287988427,30788.152939426553
54751.27498900459,30723.70711710498
54751.2770981249,30648.63302059867
54751.279207245214,30613.733726260514
54751.28131636553,30632.681049306233
54751.283425485846,30677.56307409215
54751.28553460616,30709.357012054967
54751.28764372648,30711.229529544424
54751.289752846795,30695.235468397386
54751.29186196711,30683.135835665886
54751.29397108743,30686.012440357095
54751.296080207736,30701.934226764744
54751.29818932805,30726.79235716273
54751.30029844837,30759.973817453276
54751.302407568684,30797.53878947712
54751.304516689,30824.897249297443
54751.30662580932,30823.56070305193
54751.30873492963,30788.732837996657
54751.31084404995,30738.328487066206
54751.31295317026,30700.567263717985
54751.315062290574,30690.764190365706
54751.31717141089,30701.261510703644
54751.31928053121,30714.783136926
54751.32138965152,30725.142499914862
54751.32349877184,30740.585815518785
54751.325607892155,30765.539763452605
54751.32771701247,30783.74993462299
54751.32982613279,30767.47543319706
54751.331935253096,30708.678121056
54751.33404437341,30639.61036405652
54751.33615349373,30615.485576244388
54751.338262614045,30669.244678544525
54751.34037173436,30779.673932680584
54751.34248085468,30884.69976525363
54751.34458997499,30928.953290381847
54751.34669909531,30902.060076310052
54751.348808215625,30835.352019634272
54751.350917335934,30767.415867070427
54751.35302645625,30717.42843378469
54751.35513557657,30690.084891666673
54751.35724469688,30696.02581298078
54751.3593538172,30753.410817648808
54751.361462937515,30861.473611209924
54751.36357205783,30976.952677263806
54751.36568117815,31030.83690338981
54751.367790298464,30982.697126269457
54751.36989941877,30863.569098058815
54751.37200853909,30759.071536680054
54751.374117659405,30738.94624733722
54751.37622677972,30795.407244265098
54751.37833590004,30850.845181540106
54751.38044502035,30831.728375861632
54751.38255414067,30740.39162441527
54751.384663260986,30655.55803041371
54751.3867723813,30659.535425576676
54751.38888150161,30760.55024218946
54751.39099062193,30883.393116714687
54751.39309974224,30935.838206723805
54751.39520886256,30886.876149729393
54751.397317982875,30784.885367344898
54751.39942710319,30704.652461863065
