DATE,WHITEFLUX
54236.756476047965,301276.629460199
54236.766569075175,301454.20151942444
54236.776662102384,301421.3256468926
54236.7867551296,301619.1860166519
54236.79684815681,301459.0351461577
54236.80694118402,301199.0581038936
54236.81703421123,301625.15473391896
54236.827127238445,301413.60542911384
54236.837220265654,301295.80327820114
54236.84731329286,301528.323342579
54236.85740632007,301361.4614004342
54236.86749934729,301422.8746071662
54236.8775923745,301457.3441277629
54236.88768540171,301436.19872203656
54236.897778428916,301348.619684385
54236.90787145613,301643.09418820636
54236.91796448334,301577.7486362975
54236.92805751055,302195.29628568963
54236.93815053776,301627.4051736658
54236.94824356498,301660.2762511649
54236.958336592186,301447.5455882487
54236.968429619395,301576.62567476777
54236.978522646605,301742.39550399996
54236.98861567382,301422.06920169655
54236.99870870103,301632.72744419804
54237.00880172824,301515.38595123356
54237.01889475545,301432.68441875675
54237.028987782665,301665.4006968542
54237.039080809875,301491.3580848201
54237.049173837084,301446.2356751762
54237.05926686429,301449.1654780094
54237.06935989151,301571.63962181937
54237.07945291872,301667.630997551
54237.08954594593,301414.1142221645
54237.09963897314,301296.97909190675
54237.109732000354,301395.60696194944
54237.11982502756,301203.3696220766
54237.12991805477,301566.1728850331
54237.14001108198,301304.4784143683
54237.1501041092,301454.3343985447
54237.16019713641,301323.4410937844
54237.170290163616,301634.74443368206
54237.180383190826,301818.9436687477
54237.19047621804,301292.49553145294
54237.20056924525,301491.59906295594
54237.21066227246,301389.85078122193
54237.22075529967,301610.3991786293
54237.23084832688,301627.1980280244
54237.240941354095,301744.4242875065
54237.251034381305,301495.0260143471
54237.261127408514,301525.1210796447
54237.27122043572,301783.6657974642
54237.28131346294,301632.7619295074
54237.29140649015,301267.725964735
54237.30149951736,301518.69261090184
54237.31159254457,301482.8227757519
54237.321685571784,301542.20906756
54237.33177859899,301232.6273956567
54237.3418716262,301541.89844715554
54237.35196465341,301476.7356602328
54237.36205768063,301611.3393170146
54237.37215070784,301684.5184897759
54237.382243735046,301503.2317850967
54237.392336762256,301544.0287416202
54237.40242978947,301593.6606042612
54237.41252281668,301623.5968311644
54237.42261584389,301681.99502749107
54237.4327088711,301514.18443117524
54237.442801898316,301573.89873540594
54237.452894925525,301476.60993361403
54237.462987952735,301503.3683433776
54237.473080979944,301327.0079024596
54237.48317400716,301424.6672484305
54237.49326703437,301650.81853623805
54237.50336006158,301239.480531445
54237.51345308879,301735.01541689463
54237.523546116005,301592.8458712676
54237.533639143214,301419.442020153
54237.54373217042,301443.9825112492
54237.55382519763,301432.1166534939
54237.56391822485,301379.63479715044
54237.57401125206,301445.50410742976
54237.58410427927,301461.3706356445
54237.59419730648,301653.1957015323
54237.60429033369,301528.0666237023
54237.6143833609,301205.5498428888
54237.62447638811,301648.80293907295
54237.63456941532,301250.87352986936
54237.64466244254,301302.874231934
54237.654755469746,301220.79043605475
54237.664848496956,301281.6670817073
54237.674941524165,301357.685706635
54237.68503455138,301639.6951719175
54237.69512757859,301389.85536440735
54237.7052206058,301895.24868472567
54237.71531363301,301531.04313756234
54237.72540666022,301649.9291663492
54237.735499687435,301487.2924707885
54237.745592714644,301342.9199160982
54237.75568574185,301550.86144117516
54237.76577876906,301281.0515318438
54237.77587179628,301499.70758239896
54237.78596482349,301469.9262470398
54237.7960578507,301774.25936228514
54237.80615087791,301595.6988339278
54237.81624390512,301489.3092496655
54237.82633693233,301542.0905452401
54237.83642995954,301425.1949341635
54237.84652298675,301425.59803474176
54237.85661601397,301637.5830537892
54237.86670904118,301550.9853536562
54237.876802068386,301520.0266198774
54237.886895095595,301245.46761735075
54237.89698812281,301442.3597916304
54237.90708115002,301609.4593668319
54237.91717417723,301559.17728017754
54237.92726720444,301763.252565081
54237.937360231655,301522.7998031309
54237.947453258865,301417.7744494173
54237.957546286074,301370.6961301077
54237.96763931328,301585.745226107
54237.9777323405,301367.21257858345
54237.98782536771,301713.92681551276
54237.99791839492,301349.4710642388
54238.00801142213,301353.6301250899
54238.018104449344,301578.39434741717
54238.02819747655,301518.29104199447
54238.03829050376,301251.2233746371
54238.04838353097,301388.34462670144
54238.05847655819,301680.34133899736
54238.0685695854,301406.1596338182
54238.07866261261,301446.68894301413
54238.088755639816,301673.8695186662
54238.09884866703,301399.33795900695
54238.10894169424,301637.3408958692
54238.11903472145,301431.2468218011
54238.12912774866,301565.8063120846
54238.139220775876,302004.22967260657
54238.149313803086,301378.8829508087
54238.159406830295,301612.656636923
54238.169499857504,301619.7456330607
54238.17959288471,301494.08304201433
54238.18968591193,301648.8537803375
54238.19977893914,301383.6243707429
54238.20987196635,301479.09926129645
54238.21996499356,301306.04845083575
54238.230058020774,301612.3076350098
54238.24015104798,301615.22906760435
54238.25024407519,301558.97989720915
54238.2603371024,301197.11629616783
54238.27043012962,301523.15321750875
54238.28052315683,301485.735374632
54238.29061618404,302044.59112160554
54238.300709211246,301365.94144313276
54238.31080223846,301487.69872520556
54238.32089526567,301268.8866935853
54238.33098829288,301271.7954056972
54238.34108132009,301453.1340869425
54238.35117434731,301331.37837199983
54238.361267374516,301397.81224857765
54238.371360401725,301525.026432379
54238.381453428934,301476.6372171811
54238.39154645615,301695.79316728516
54238.40163948336,301450.3814737101
54238.41173251057,301622.90070053027
54238.42182553778,301483.32812589826
54238.431918564995,301649.3125189122
54238.442011592204,301825.7395432384
54238.45210461941,301654.2920881873
54238.46219764662,301716.35641996394
54238.47229067384,301773.1617104109
54238.48238370105,301810.2782457425
54238.49247672826,301552.84387443966
54238.50256975547,301659.4623318012
54238.51266278268,301463.9299069269
54238.52275580989,301660.76298851066
54238.5328488371,301197.30486115185
54238.54294186431,301093.6200163165
54238.55303489153,301343.35396599164
54238.56312791874,300991.31379295065
54238.573220945946,300845.2375320159
54238.583313973155,301174.89367503906
54238.59340700037,300882.7480069277
54238.60350002758,301014.11662824324
54238.61359305479,301251.5767165759
54238.623686082,301295.11892935814
54238.63377910921,301757.04477459454
54238.643872136425,301762.2315081881
54238.653965163634,301832.53055962425
54238.66405819084,301684.54511768976
54238.67415121805,302312.05043805036
54238.68424424527,301675.30396357656
54238.69433727248,302230.5491796942
54238.70443029969,301889.11792967375
54238.7145233269,302271.3025510178
54238.72461635411,302282.03217857674
54238.73470938132,301513.04887026467
54238.74480240853,301750.6585773711
54238.75489543574,301644.18590411876
54238.76498846296,301670.2963881043
54238.77508149017,301488.31852010573
54238.785174517376,301863.41729224846
54238.795267544585,301618.07456232444
54238.8053605718,301675.1154423567
54238.81545359901,301501.1669565063
54238.82554662622,301654.73625356203
54238.83563965343,301333.5555945691
54238.845732680646,301558.951054032
54238.855825707855,301346.9862328073
54238.865918735064,301734.3304159092
54238.87601176227,301439.4648725655
54238.88610478949,301420.71280970087
54238.8961978167,301369.3492446579
54238.90629084391,301436.1290987828
54238.91638387112,301437.01163970307
54238.926476898334,301522.77726466925
54238.93656992554,301425.7401210134
54238.94666295275,301313.8461994543
54238.95675597996,301329.2550453254
54238.96684900718,301056.8240016203
54238.97694203439,301121.62197211065
54238.9870350616,301478.60312855203
54238.997128088806,300955.03190846404
54239.00722111602,301437.968385376
54239.01731414323,301108.0809508891
54239.02740717044,301431.25050665444
54239.03750019765,301525.57278131763
54239.04759322487,301164.1142915286
54239.057686252076,301339.62974950904
54239.067779279285,301427.74463487446
