DATE,WHITEFLUX
55939.27968195285,35552.97246093752
55939.28477310069,35580.16720306231
55939.28986424854,35591.227669196065
55939.29495539638,35578.03438863817
55939.30004654422,35687.65774604151
55939.305137692056,35660.153681257034
55939.3102288399,35796.65994967173
55939.31531998774,35609.51372852978
55939.32041113558,35526.352445188444
55939.32550228342,35651.05137395588
55939.33059343127,35684.80367616865
55939.335684579106,35658.83543319898
55939.340775726945,35634.24831019419
55939.34586687479,35719.86621566992
55939.35095802263,35553.98604405635
55939.35604917047,35660.66523911991
55939.36114031831,35710.193948207256
55939.366231466156,35498.79434392831
55939.371322613995,35644.0323706459
55939.376413761835,35611.08012988684
55939.38150490968,35570.66838962857
55939.38659605752,35669.59106631495
55939.39168720536,35650.409279839216
55939.3967783532,35612.29509450304
55939.401869501045,35605.53399497596
55939.406960648885,35595.14167606971
55939.412051796724,35582.203044705035
55939.41714294456,35608.933706032985
55939.42223409241,35619.496825726186
55939.42732524025,35716.877081593666
55939.43241638809,35625.363776077334
55939.437507535935,35632.874801600556
55939.442598683774,35684.996363182094
55939.44768983161,35448.5575866145
55939.45278097945,35546.1426661841
55939.4578721273,35611.49081758437
55939.46296327514,35540.28789740016
55939.46805442298,35542.309321161665
55939.473145570824,35579.239055486636
55939.47823671866,35643.794122972795
55939.4833278665,35663.21921028132
55939.48841901434,35835.41015931476
55939.49351016219,35661.72437646441
55939.49860131003,35613.71250264294
55939.50369245787,35798.842108491546
55939.50878360571,35656.174357985285
55939.51387475355,35664.5894986037
55939.51896590139,35593.70624211269
55939.52405704923,35559.80692857574
55939.52914819708,35668.69449412016
55939.53423934492,35616.86152962675
55939.53933049276,35555.60807199513
55939.544421640596,35671.42090894492
55939.54951278844,35769.96609521806
55939.55460393628,35629.1048988428
55939.55969508412,35694.28151814687
55939.56478623197,35642.75682057191
55939.56987737981,35612.19486328927
55939.574968527646,35775.15960142699
55939.580059675485,35671.757511210155
55939.58515082333,35765.68342943977
55939.59024197117,35785.28388211667
55939.59533311901,35731.67585026825
55939.60042426685,35711.88633436278
55939.605515414696,35558.016677046035
55939.610606562535,35670.28379700541
55939.615697710375,35713.564111612846
