DATE,WHITEFLUX
54236.75764800519,75697.1020409452
54236.76707986107,75521.99900815717
54236.77651171695,75698.41635589044
54236.78594357283,75705.73841749059
54236.79537542871,75615.63570877558
54236.80480728459,75589.28888911958
54236.81423914047,75636.80277347237
54236.82367099635,75605.0378876496
54236.83310285224,75643.66103080161
54236.842534708114,75676.15973080519
54236.851966564,75686.11290306026
54236.861398419875,75529.68692849518
54236.87083027576,75619.5741811034
54236.880262131635,75598.20987837108
54236.88969398752,75671.83422036996
54236.8991258434,75653.16646445518
54236.90855769928,75668.85303650239
54236.917989555164,75677.11583982906
54236.92742141104,75667.33517277185
54236.936853266925,75869.54296505288
54236.9462851228,75494.5989337195
54236.955716978686,75647.83697881582
54236.96514883456,75566.58721014374
54236.97458069045,75589.59437897954
54236.98401254633,75699.67891220725
54236.99344440221,75702.47030275576
54237.00287625809,75733.35632966684
54237.01230811397,75581.3162418087
54237.02173996985,75790.35013140987
54237.03117182573,75540.17944080544
54237.04060368161,75675.1701796789
54237.0500355375,75585.31922612326
54237.059467393374,75586.91106521884
54237.06889924926,75641.7807760911
54237.078331105135,75606.99030295628
54237.08776296102,75701.6823645371
54237.097194816895,75516.02467704892
54237.10662667278,75547.29325383702
54237.11605852866,75563.84471893815
54237.12549038454,75755.6970435351
54237.134922240424,75685.40611552777
54237.1443540963,75565.74335307207
54237.153785952185,75574.4543098744
54237.16321780806,75489.50949606493
54237.172649663946,75640.29621637064
54237.18208151983,75623.44052822818
54237.19151337571,75514.63079420888
54237.20094523159,75629.42598599133
54237.21037708747,75631.92784504138
54237.21980894335,75610.39064713001
54237.22924079923,75787.65669560742
54237.23867265511,75588.52204201336
54237.248104510996,75579.82769028266
54237.25753636687,75714.71028022878
54237.26696822276,75533.3626540371
54237.276400078634,75485.57402498274
54237.28583193452,75610.33715467017
54237.295263790395,75641.13178020045
54237.30469564628,75640.54940316951
54237.31412750216,75600.40874004572
54237.32355935804,75702.3351418906
54237.33299121392,75448.40372661222
54237.3424230698,75578.75345484498
54237.351854925684,75677.47897132073
54237.36128678156,75704.56133009517
54237.370718637445,75643.55155231709
54237.38015049332,75486.13098767523
54237.389582349206,75725.467548647
54237.39901420509,75709.93006142045
54237.40844606097,75529.39254827054
54237.41787791685,75654.25178413342
54237.42730977273,75779.48172249827
54237.43674162861,75657.3872568
54237.44617348449,75621.6962282209
54237.45560534037,75743.96382895172
54237.465037196256,75642.68682863837
54237.47446905213,75545.6970097607
54237.48390090802,75669.93744709274
54237.493332763894,75568.52971904693
54237.50276461978,75484.11999426925
54237.512196475654,75823.66860531614
54237.52162833154,75686.54117375321
54237.53106018742,75799.59345208753
54237.5404920433,75858.23911937994
54237.54992389918,75548.14932954498
54237.55935575506,75687.36466928294
54237.568787610944,75683.62418281312
54237.57821946682,75597.3295807692
54237.587651322705,75613.64215235402
54237.59708317859,75706.56254157121
54237.606515034466,75679.61110450333
54237.61594689035,75659.54443007094
54237.62537874623,75666.92375724298
54237.63481060211,75603.3914615446
54237.64424245799,75674.02305699106
54237.65367431387,75654.60630305164
54237.663106169755,75751.16762229483
54237.67253802563,75624.37088153997
54237.681969881516,75900.86257598293
54237.69140173739,75820.99721685033
54237.70083359328,75838.05946583381
54237.710265449154,75730.05662321569
54237.71969730504,75510.33505412539
54237.72912916092,75632.34815834029
54237.7385610168,75604.9462002395
54237.74799287268,75775.31094422379
54237.75742472856,75724.80856890851
54237.76685658444,75686.94871228523
54237.77628844032,75739.52089067937
54237.785720296204,75556.79349375919
54237.79515215208,75553.3212210529
54237.804584007965,75651.76827340346
54237.81401586385,75566.90174359329
54237.823447719726,75652.4121070913
54237.83287957561,75696.26776222688
54237.84231143149,75729.49635399156
54237.85174328737,75632.41713640836
54237.86117514325,75775.9749215714
54237.87060699913,75670.35062908077
54237.880038855015,75798.46471974724
54237.88947071089,75696.06995046003
54237.898902566776,75562.39025114848
54237.90833442265,75614.72968938491
54237.91776627854,75752.49405232407
54237.92719813441,75597.59481590473
54237.9366299903,75679.54635410548
54237.94606184618,75745.03807174186
54237.95549370206,75640.50027756974
54237.96492555794,75677.30021870858
54237.97435741382,75655.14462427473
54237.9837892697,75633.08623462313
54237.99322112558,75592.00050749675
54238.002652981464,75640.44342693454
54238.01208483735,75664.72421855603
54238.021516693225,75613.39565651513
54238.03094854911,75803.99263021884
54238.040380404986,75941.36478881123
54238.04981226087,75481.69581634294
54238.05924411675,75731.32776859346
54238.06867597263,75654.09969903222
54238.078107828514,75646.06076574938
54238.08753968439,75787.32456966156
54238.096971540275,75811.17727188992
54238.10640339615,75747.83837493481
54238.115835252036,75729.56921967001
54238.12526710791,75842.44215435356
54238.1346989638,75618.75687720017
54238.14413081968,75626.52654625426
54238.15356267556,75681.89591006986
54238.16299453144,75721.12760415196
54238.17242638732,75662.71157460661
54238.1818582432,75790.0634045164
54238.19129009908,75665.45385599922
54238.20072195496,75851.44208205472
54238.21015381084,75731.69577341348
54238.219585666724,75612.10708022541
54238.22901752261,75590.39612021047
54238.238449378485,75849.7963695553
54238.24788123437,75682.39481774672
54238.257313090246,75841.40679872259
54238.26674494613,75756.71284725027
54238.27617680201,75778.97841641614
54238.28560865789,75664.63938838452
54238.295040513774,75605.39490068394
54238.30447236965,75663.54579430727
54238.313904225535,75686.60008761674
54238.32333608141,75761.1815872055
54238.332767937296,75624.26408221196
54238.34219979317,75814.2080480783
54238.35163164906,75720.19098469026
54238.36106350494,75679.01160533944
54238.37049536082,75636.80866330404
54238.3799272167,75659.12456913547
54238.38935907258,75612.09375906449
54238.39879092846,75742.67772730203
54238.40822278434,75578.53472536999
54238.41765464022,75909.79656594578
54238.42708649611,75602.91325205794
54238.436518351984,75555.88359260903
54238.44595020787,75572.16892438155
54238.455382063745,75636.79170136582
54238.46481391963,75566.67082168476
54238.474245775506,75574.39261429428
54238.48367763139,75723.88797397858
54238.49310948727,75709.40408015964
54238.50254134315,75644.05572899233
54238.511973199034,75665.94116053783
54238.52140505491,75649.4251379896
54238.530836910795,75728.19819615151
54238.54026876667,75694.62996903723
54238.549700622556,75715.59161681845
54238.55913247844,75841.07924451157
54238.56856433432,75682.78319752928
54238.5779961902,75627.05116867452
54238.58742804608,75441.84648308114
54238.59685990196,75684.38370415466
54238.60629175784,75688.96021761277
54238.61572361372,75681.21176285727
54238.6251554696,75653.70486707446
54238.63458732548,75658.38861446356
54238.64401918137,75647.68713653465
54238.653451037244,75493.91598396428
54238.66288289313,75753.57866963293
54238.672314749005,75708.89579052209
54238.68174660489,75856.81263516491
54238.691178460766,75676.2855564738
54238.70061031665,75743.7617436357
54238.71004217253,75748.56741293902
54238.71947402841,75677.9254032495
54238.728905884294,75666.70223484236
54238.73833774017,75743.29716696724
54238.747769596055,75651.64400081463
54238.75720145193,75816.46843348446
54238.766633307816,75533.26352549887
54238.7760651637,75592.8957565551
54238.78549701958,75590.21393414958
54238.79492887546,75505.3449945388
54238.80436073134,75675.4323450598
54238.81379258722,75592.32441472744
54238.8232244431,75615.25757257901
54238.83265629898,75581.1672031534
54238.842088154866,75871.8239484297
54238.85152001074,75640.36778191423
54238.86095186663,75727.60932599565
54238.870383722504,75745.62271814054
54238.87981557839,75675.110135584
54238.889247434265,75691.6535826955
54238.89867929015,75753.57570763791
54238.90811114603,75614.31135887642
54238.91754300191,75717.2715100505
54238.92697485779,75632.6812076891
54238.93640671367,75540.29120520661
54238.945838569554,75741.54527787327
54238.95527042543,75639.28011581504
54238.964702281315,75536.35466818581
54238.9741341372,75712.76919690463
54238.983565993076,75657.37055893929
54238.99299784896,75666.97091825065
54239.00242970484,75855.27902208861
54239.01186156072,75519.4757734652
54239.0212934166,75846.25647951037
54239.03072527248,75721.50012013882
54239.04015712836,75624.29462409452
54239.04958898424,75773.28631407171
54239.059020840126,75754.19169057228
54239.068452696,75595.32112052878
54239.07788455189,75746.36146164358
54239.087316407764,75561.17108292456
54239.09674826365,75462.85819769543
54239.106180119525,75584.79233538166
54239.11561197541,75924.87746789333
54239.12504383129,75633.8938897571
54239.13447568717,75650.61308605222
54239.14390754305,75687.33359492294
54239.15333939893,75662.06897647106
54239.162771254814,75697.33691225144
54239.17220311069,75589.01243427656
54239.181634966575,75707.07695334402
54239.19106682246,75608.62588382741
54239.200498678336,75770.8939209702
54239.20993053422,75942.05474157755
54239.2193623901,75511.40839594582
54239.22879424598,75570.18990860012
54239.23822610186,75762.76518460442
54239.24765795774,75701.2883857587
54239.257089813625,75814.33698060884
54239.2665216695,75867.95902591746
54239.275953525386,75582.46974958976
54239.28538538126,75668.90977542405
54239.29481723715,75783.86467884626
54239.304249093024,75597.82573623417
54239.31368094891,75725.79521670876
54239.32311280479,75839.85139904526
54239.33254466067,75702.78583370904
54239.34197651655,75715.66156884773
54239.35140837243,75666.61747016555
54239.36084022831,75704.56708883692
54239.37027208419,75636.08177199111
54239.379703940074,75576.31645713518
54239.38913579596,75659.42463874888
54239.398567651835,75614.66840588566
54239.40799950772,75619.4460648244
54239.417431363596,75710.53205902207
54239.42686321948,75736.77136753805
54239.43629507536,75699.82454594356
54239.44572693124,75720.22984152319
54239.45515878712,75637.85874782232
54239.464590643,75611.33664287647
54239.474022498885,75673.85493877901
54239.48345435476,75408.79120513187
54239.492886210646,75727.33458054253
54239.50231806652,75476.19643164254
54239.51174992241,75730.57435154512
54239.521181778284,75741.99249903299
54239.53061363417,75549.95166641628
54239.54004549005,75797.80956342856
54239.54947734593,75641.98126671284
54239.55890920181,75695.12588741224
54239.56834105769,75776.40464569532
54239.57777291357,75753.71247633078
54239.58720476945,75620.46043851404
54239.596636625334,75785.41475081262
54239.60606848122,75573.21501551053
54239.615500337095,75715.9500546835
54239.62493219298,75588.99803418589
54239.634364048856,75728.0868941848
54239.64379590474,75653.62535345089
54239.65322776062,75656.12279119255
54239.6626596165,75561.93791845474
54239.672091472385,75609.65888829225
54239.68152332826,75885.97723107509
54239.690955184145,75591.35760616235
54239.70038704002,75688.54191093067
54239.709818895906,75549.00653252809
54239.71925075178,75638.13614108697
54239.72868260767,75824.8379727014
54239.73811446355,75809.8010574433
54239.74754631943,75683.92356748154
54239.75697817531,75712.3629589636
54239.76641003119,75486.5351348911
54239.77584188707,75757.99148520127
54239.78527374295,75677.86368901792
54239.79470559883,75506.39085722009
54239.80413745471,75724.429620227
54239.813569310594,75747.86339656425
54239.82300116648,75667.91490922094
54239.832433022355,75580.03297696754
54239.84186487824,75585.28140712822
54239.851296734116,75699.0179401903
54239.86072859,75629.50583708964
54239.87016044588,75799.097142359
54239.87959230176,75798.60741386477
54239.889024157645,75707.65742835541
54239.89845601352,75714.80615415532
54239.907887869405,75715.1756687194
54239.91731972528,75712.32397450147
54239.926751581166,75711.22462693143
54239.93618343704,75584.8331437366
54239.94561529293,75631.43447415043
54239.95504714881,75643.25576761355
54239.96447900469,75811.11388795798
54239.97391086057,75607.80529800599
54239.98334271645,75678.30307010053
54239.99277457233,75725.80695359774
54240.00220642821,75781.50641354796
54240.01163828409,75696.83780305432
54240.02107013998,75864.20503006705
54240.030501995854,75645.46468370293
54240.03993385174,75598.5187835429
54240.049365707615,75874.54792216781
54240.0587975635,75626.36197545957
54240.068229419376,75884.00138757877
54240.07766127526,75720.95098890315
54240.087093131144,75569.95789636615
54240.09652498702,75709.10260034727
54240.105956842905,75701.89855506943
54240.11538869878,75607.98887177055
54240.124820554665,75697.16947475508
54240.13425241054,75662.9068940605
54240.143684266426,75628.33250809829
54240.15311612231,75669.90361541418
54240.16254797819,75706.562492839
54240.17197983407,75778.80580929594
54240.18141168995,75565.74281449638
54240.19084354583,75721.92192134293
54240.20027540171,75695.49952693691
54240.20970725759,75868.47408946916
54240.21913911347,75740.63367535482
54240.22857096935,75585.80654383222
54240.23800282524,75702.54563178035
54240.247434681114,75607.23870607457
54240.256866537,75788.17446104872
54240.266298392875,75903.08305466169
54240.27573024876,75544.13561573141
54240.285162104636,75710.63637172201
54240.29459396052,75608.19997997631
54240.304025816404,75727.19578231548
54240.31345767228,75702.25093918655
54240.322889528165,75701.03293596544
54240.33232138404,75686.59051833396
54240.341753239925,75706.93520697062
54240.3511850958,75669.11763909696
54240.360616951686,75803.33800754674
54240.37004880757,75592.0836795231
54240.37948066345,75741.16825242946
54240.38891251933,75838.68023135109
54240.39834437521,75669.10645287651
54240.40777623109,75711.32040444363
54240.41720808697,75676.7027430313
54240.42663994285,75590.538899912
54240.43607179874,75924.98396324663
54240.44550365461,75851.9890664984
54240.4549355105,75686.12950539951
54240.464367366374,75745.72331275581
54240.47379922226,75733.54922265075
54240.483231078135,75698.89731924198
54240.49266293402,75739.14518203241
54240.5020947899,75635.47771120796
54240.51152664578,75648.30688616468
54240.520958501664,75678.1073758299
54240.53039035754,75743.4028972916
